libchamplain 0.12.12-1
libconfig 1.5-2
libcroco 0.6.11-1
libcue 2.0.1-1
libcups 2.1.3-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbus 1.10.8-1
libdca 0.0.5-4
libdiscid 0.6.1-2
libdmapsharing 2.9.32-1
libdmx 1.1.3-1
libdrm 2.4.67-2
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libebml 1.3.3-2
libedit 20150325_3.1-2
libelf 0.165-1
libepoxy 1.3.1-1
libev 4.20-1
libevdev 1.4.6-1
libevent 2.0.22-2
libexif 0.6.21-2
libffi 3.2.1-1
libfm 1.2.4-1
libfm-extra 1.2.4-1
libfm-gtk2 1.2.4-1
libfontenc 1.1.3-1
libgcrypt 1.6.5-1
libgcrypt11 1.5.0-5
libgdata 0.17.4-1
libgdm 3.18.2-1
libgee 0.18.0-1
libgksu 2.0.12-6
libglade 2.6.4-5
libgme 0.6.0-5
libgnome-keyring 3.12.0-2
libgnomekbd 3.6.0-2
libgpg-error 1.21-1
libgphoto2 2.5.9-1
libgsf 1.14.36-1
libgtop 2.32.0-1
libgudev 230-1
libgusb 0.2.9-1
libgweather 3.18.1-1
libgxps 0.2.3.2-1
libibus 1.5.13-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.32-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libinput 1.2.2-1
libiptcdata 1.0.4-3
libjpeg-turbo 1.4.2-2
libkate 0.4.1-5
libkeybinder2 0.3.0-2
libksba 1.3.3-1
libldap 2.4.44-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.1.13-1
libmatroska 1.4.4-1
libmediaart 1.9.0-1
libmicrohttpd 0.9.48-1
libmm-glib 1.4.14-1
libmms 0.6.4-1
libmng 2.0.3-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-1
libmpcdec 1:0.1+r475-1
libmpdclient 2.10-1
libmpeg2 0.5.1-5
libmtp 1.1.11-1
libmusicbrainz5 5.1.0-2
libnautilus-extension 3.18.5-1
libndp 1.5-1
libnewt 0.52.19-1
libnfs 1.10.0-1
libnice 0.1.13-1
libnl 3.2.27-1
libnm-glib 1.0.12-1
libnotify 0.7.6-2
liboauth 1.0.3-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libosinfo 0.3.0-1
libpaper 1.1.24-9
libpciaccess 0.13.4-1
libpeas 1.16.0-1
libpgm 5.2.122-2
libphonenumber 7.2.5-1
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.21-1
libproxy 0.4.12-1
libpulse 8.0-3
libpwquality 1.3.0-1
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw1394 2.1.1-1
librsvg 2:2.40.15-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.3-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.8.0-1
libsm 1.2.2-2
libsndfile 1.0.26-1
libsodium 1.0.10-1
libsoup 2.52.2-1
libsoxr 0.1.2-1
libspectre 0.2.7-2
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsystemd 229-3
libtar 1.2.20-2
libtasn1 4.7-1
libteam 1.23-1
libtermkey 0.18-2
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-4
libtracker-sparql 1.6.1-3
libtxc_dxtn 1.0.1-6
libunistring 0.9.6-1
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.20-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.27.1-1
libuv 1.9.0-1
libva 1.7.0-1
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.5.0-4
libvterm 0.1.git1.c4317a6-2
libwacom 0.18-1
libwbclient 4.4.0-1
libwebp 0.5.0-1
libwm-git 1.0.r4.g208dfb8-1
libwnck 2.31.0-1
libwnck3 3.14.1-1
libx11 1.6.3-1
libx264 2:148.20160103-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11.1-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-1
libxfce4util 4.12.1-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.6.0-1
libxkbcommon-x11 0.6.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.3-1
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-4
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
licenses 20140629-1
lightdm 1:1.18.0-1
linux 4.4.5-1
linux-api-headers 4.4.1-1
linux-firmware 20160113.40e9ae8-1
linux-headers 4.4.5-1
llvm-libs 3.7.1-1
logrotate 3.9.1-1
lua 5.3.2-1
lua-lgi 0.9.0-1
lua51 5.1.5-4
lua51-lpeg 1.0.0-1
lua51-messagepack 0.3.4-1
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
luajit 2.0.4-2
lvm2 2.02.148-1
lxappearance 0.6.2-1
lxmenu-data 0.1.5-1
lxpanel 0.8.2-1
lz4 131-1
lzo 2.09-1
m4 1.4.17-1
make 4.1-3
man-db 2.7.5-1
man-pages 4.05-1
mc 4.8.16-2
mdadm 3.4-1
menu-cache 1.0.1-2
mesa 11.1.2-1
mesa-demos 8.3.0-1
mesa-libgl 11.1.2-1
mime-types 9-1
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.1-1
mksh 52.2-1
mlocate 0.26-5
mobile-broadband-provider-info 20151214-1
mod_dnssd 0.6-6
mousetweaks 3.12.0-1
mozilla-common 1.4-4
mpc 0.27-1
mpd 0.19.14-1
mpfr 3.1.4-1
mpg123 1.22.4-1
msgpack-c 1.4.1-1
mtdev 1.1.5-1
mutter 3.18.3-2
nano 2.5.3-1
nautilus 3.18.5-1
nautilus-sendto 3.8.3-1
ncmpcpp-git 1:1984.f56c825-1
ncurses 6.0-4
neofetch-git 1.6.r49.g66fca92-1
neon 0.30.1-2
netctl 1.11-1
nettle 3.2-1
networkmanager 1.0.12-1
nitrogen 1.5.2-3
nm-connection-editor 1.0.10-1
nodejs 6.2.2-1
npm 3.9.6-1
npth 1.2-1
nspr 4.12-1
nss 3.23-3
ntfs-3g 2016.2.22-1
ocl-icd 2.2.9-1
openbox 3.6.1-3
openbox-themes 1.0.2-3
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openresolv 3.7.2-1
openssl 1.0.2.g-3
opus 1.1.2-1
orc 0.4.25-1
p11-kit 0.23.2-1
package-query 1.8-2
pacman 5.0.1-2
pacman-mirrorlist 20160404-1
pam 1.2.1-3
pambase 20130928-1
pango 1.39.0-1
pangomm 2.38.1-2
parcellite 1.1.9-1
parted 3.2-3
patch 2.7.5-1
pciutils 3.5.1-1
pcmanfm 1.2.4-2
pcmciautils 018-7
pcre 8.38-3
perl 5.24.0-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-io-string 1.08-9
perl-ipc-system-simple 1.25-1
perl-timedate 2.30-2
perl-uri 1.71-1
pinentry 0.9.7-1
pixman 0.34.0-1
pkg-config 0.29.1-1
po4a 0.46-1
polkit 0.113-4
poppler 0.41.0-1
poppler-glib 0.41.0-1
popt 1.16-7
procps-ng 3.3.11-2
protobuf 2.6.1-2
psmisc 22.21-3
pulseaudio 8.0-3
pulseaudio-alsa 2-3
pygobject-devel 3.18.2-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt5-common 5.5.1-2
python 3.5.1-2
python-gobject 3.18.2-1
python-jinja 2.8-2
python-markupsafe 0.23-3
python-packaging 16.6-1
python-pygments 2.1.3-1
python-pyparsing 2.1.1-1
python-pypeg2 2.15.1-3
python-pyqt5 5.5.1-2
python-setuptools 1:20.6.7-1
python-sip 4.17-1
python-six 1.10.0-1
python-xdg 0.25-3
python-yaml 3.11-3
python2 2.7.11-3
python2-atspi 2.18.0-1
python2-cairo 1.10.0-2
python2-gobject 3.18.2-1
python2-gobject2 2.28.6-12
python2-keybinder2 0.3.0-2
python2-notify 0.1.1-13
python2-pillow 3.2.0-1
python2-pybluez 0.20-4
python2-simplejson 3.8.2-1
python2-xdg 0.25-3
qt4 4.8.7-7
qt5-base 5.6.0-2
